SubjectID,Treatment,session,Position,Age,Gender,Major,ETF,PreviousExperiment,Round,MatchedWith,pair,Controller,ScheduleNum,Agreement,Transfer,Offers,Token,Flag,s1,s2,s3,s4,s5,s6,s7,Best SchNum,onehundrednumber,max,chosen,difference,efficiency
1,Certainty,1,L,19,Male,NRS,1,1,Round One,4,1,1,3,1,25,3,35,,80,90,100,95,90,95,80,3,3,100,100,0,1
1,Certainty,1,L,19,Male,NRS,1,1,Round Two,5,2,0,2,1,50,2,15,,90,100,95,90,95,85,90,2,2,100,100,0,1
1,Certainty,1,L,19,Male,NRS,1,1,Round Three,6,3,0,6,1,35,1,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
2,Certainty,1,L,19,Female,BIO,0,1,Round One,5,4,1,4,1,45,14,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
2,Certainty,1,L,19,Female,BIO,0,1,Round Two,6,5,0,4,1,15,1,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
2,Certainty,1,L,19,Female,BIO,0,1,Round Three,4,6,1,6,1,25,8,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
3,Certainty,1,L,22,Female,BIO,0,2,Round One,6,7,0,4,1,15,2,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
3,Certainty,1,L,22,Female,BIO,0,2,Round Two,4,8,0,5,1,50,3,75,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
3,Certainty,1,L,22,Female,BIO,0,2,Round Three,5,9,1,4,1,40,1,25,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
4,Certainty,1,H,21,Female,Other,0,2,Round One,1,1,0,3,1,25,3,65,,80,90,100,95,90,95,80,3,3,100,100,0,1
4,Certainty,1,H,21,Female,Other,0,2,Round Two,3,8,1,5,1,50,3,20,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
4,Certainty,1,H,21,Female,Other,0,2,Round Three,2,6,0,6,1,15,8,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
5,Certainty,1,H,5,Female,Other,0,1,Round One,2,4,0,4,1,45,14,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
5,Certainty,1,H,5,Female,Other,0,1,Round Two,1,2,1,2,1,50,2,85,,90,100,95,90,95,85,90,2,2,100,100,0,1
